sent_at_unix_ns,latency_us,status
1775317816943853020,2438,ok
1775317816941216326,5448,ok
1775317816946663638,3063,ok
1775317816954955848,2409,ok
1775317816952801745,5028,ok
1775317816956054010,2920,ok
1775317816957837989,4431,ok
1775317816958921336,4492,ok
1775317816965588710,2628,ok
1775317816966679237,3332,ok
1775317816968216444,2031,ok
1775317816972392612,1687,ok
1775317816974066912,2522,ok
1775317816975162601,2797,ok
1775317816976253767,3437,ok
1775317816977667667,2829,ok
1775317816979041853,4000,ok
1775317816984114812,4252,ok
1775317816987277849,1808,ok
1775317816988363101,2531,ok
1775317816990166562,2311,ok
1775317816990881724,3927,ok
1775317816994711263,4650,ok
1775317817001520547,2638,ok
1775317817000430062,4468,ok
1775317817003699102,1656,ok
1775317817002610175,3927,ok
1775317817006540137,4113,ok
1775317817007620254,3770,ok
1775317817014672456,1788,ok
1775317817014592384,4622,ok
1775317817017540668,3395,ok
1775317817019219281,1893,ok
1775317817027256328,2230,ok
1775317817029408203,1804,ok
1775317817030557356,3155,ok
1775317817034788115,2045,ok
1775317817035880423,1560,ok
1775317817038516174,2320,ok
1775317817040676875,2058,ok
1775317817040764573,5047,ok
1775317817042739398,3430,ok
1775317817063315301,2221,ok
1775317817065531010,1454,ok
1775317817065470195,1612,ok
1775317817068157199,1793,ok
1775317817072096965,2290,ok
1775317817080525885,2213,ok
1775317817083919865,2953,ok
1775317817085010624,3029,ok
1775317817089154406,1400,ok
1775317817087971264,3518,ok
1775317817086871664,6060,ok
1775317817092569044,1876,ok
1775317817092936152,1618,ok
1775317817092637524,2284,ok
1775317817094016746,4184,ok
1775317817097071692,1818,ok
1775317817098164755,3426,ok
1775317817098885076,3596,ok
1775317817101577112,2193,ok
1775317817102465319,2850,ok
1775317817103561005,3689,ok
1775317817104845026,4087,ok
1775317817108330792,2113,ok
1775317817115764059,1731,ok
1775317817113589479,4001,ok
1775317817114679134,3658,ok
1775317817117578820,2242,ok
1775317817118317727,1639,ok
1775317817119431528,1500,ok
1775317817122002983,2015,ok
1775317817123091039,1739,ok
1775317817124017339,1570,ok
1775317817124836268,2501,ok
1775317817126672201,1801,ok
1775317817130619313,1388,ok
1775317817133078050,1999,ok
1775317817139215493,2286,ok
1775317817140298727,1292,ok
1775317817141390895,1825,ok
1775317817161422566,1980,ok
1775317817162515518,2909,ok
1775317817165428918,2229,ok
1775317817167660581,1427,ok
1775317817176226677,1471,ok
1775317817178779359,1681,ok
1775317817179870211,2459,ok
1775317817181545009,4209,ok
1775317817184496585,1483,ok
1775317817183412112,3221,ok
1775317817188776621,4220,ok
1775317817191927212,2881,ok
1775317817195880388,3759,ok
1775317817202781228,3511,ok
1775317817204934288,1965,ok
1775317817206897598,3764,ok
1775317817210062224,2334,ok
1775317817216539367,3201,ok
1775317817219697659,3715,ok
1775317817224489955,2356,ok
1775317817230923927,3666,ok
1775317817232015267,3532,ok
1775317817234174959,2482,ok
1775317817237730374,3379,ok
1775317817239888275,3470,ok
1775317817253512526,2199,ok
1775317817259858045,1539,ok
1775317817260953758,5274,ok
1775317817267298315,1445,ok
1775317817265579334,3867,ok
1775317817268393103,2469,ok
1775317817269441054,1457,ok
1775317817270537279,3188,ok
1775317817273057345,1826,ok
1775317817273711889,3207,ok
1775317817274801645,2544,ok
1775317817281556976,2404,ok
1775317817286112510,3136,ok
1775317817289195888,3945,ok
1775317817290334985,3323,ok
1775317817297897687,2009,ok
1775317817296807426,3422,ok
1775317817300215252,2339,ok
1775317817299891847,3440,ok
1775317817304414697,2654,ok
1775317817305497407,2102,ok
1775317817306593184,2444,ok
1775317817310149681,4198,ok
1775317817314360549,2243,ok
1775317817314302936,2725,ok
1775317817315495471,2269,ok
1775317817323925554,1481,ok
1775317817326477396,1920,ok
1775317817328380636,1700,ok
1775317817329472992,1552,ok
1775317817331039623,1253,ok
1775317817336440148,3206,ok
1775317817339592989,4673,ok
1775317817344256176,3617,ok
1775317817345346623,2719,ok
1775317817349147027,1594,ok
1775317817351819314,4275,ok
1775317817356087119,1455,ok
1775317817354979581,3793,ok
1775317817359852048,3081,ok
1775317817366078948,1891,ok
1775317817374046944,1509,ok
1775317817375137485,2833,ok
1775317817379046398,2901,ok
1775317817380139287,3987,ok
1775317817386269882,2284,ok
1775317817390702328,1513,ok
1775317817392254652,1842,ok
1775317817391795830,3705,ok
1775317817392195258,3794,ok
1775317817400138820,2627,ok
1775317817402299552,3888,ok
1775317817407270453,1733,ok
1775317817406174847,3372,ok
1775317817408367920,2572,ok
1775317817410941384,3153,ok
1775317817414107764,1623,ok
1775317817415741204,2020,ok
1775317817417763076,1678,ok
