timestamp,cpu4,cpu6,cpu8,cpu10
1775425225636718,100,83.3333,60,50
1775425225687531,85.7143,60,60,25
1775425225738185,66.6667,80,66.6667,50
1775425225788872,83.3333,66.6667,40,20
1775425225839531,80,100,80,25
1775425225890302,100,50,75,71.4286
1775425225941042,83.3333,100,80,75
1775425225991759,75,80,66.6667,71.4286
1775425226042498,100,80,80,60
1775425226093261,83.3333,75,50,50
1775425226143993,75,66.6667,60,0
1775425226194719,75,60,50,0
1775425226245432,83.3333,100,80,100
1775425226296104,75,50,25,20
1775425226346795,83.3333,83.3333,60,50
1775425226397438,75,75,60,40
1775425226448020,75,80,60,40
1775425226498702,100,100,100,83.3333
1775425226549414,83.3333,80,80,80
1775425226600112,83.3333,80,60,60
1775425226650837,75,80,80,60
1775425226701553,85.7143,66.6667,50,20
1775425226752220,100,80,66.6667,40
1775425226802927,80,80,66.6667,60
1775425226853686,83.3333,25,50,20
1775425226904415,80,80,60,40
1775425226955152,100,80,75,75
1775425227005880,83.3333,75,66.6667,50
1775425227056600,83.3333,60,40,0
1775425227107345,60,50,40,50
1775425227158043,100,66.6667,25,20
1775425227208774,100,80,80,75
1775425227259530,80,80,60,50
1775425227310206,80,66.6667,25,0
1775425227360919,75,75,40,0
1775425227411550,80,66.6667,33.3333,33.3333
1775425227462197,80,80,75,50
1775425227512909,80,71.4286,71.4286,40
1775425227563575,83.3333,75,50,60
1775425227614237,50,50,50,20
1775425227664954,100,100,100,100
1775425227715682,100,100,66.6667,66.6667
1775425227766302,83.3333,85.7143,100,80
1775425227816999,100,75,50,20
1775425227867642,71.4286,66.6667,50,25
1775425227918352,100,75,80,66.6667
1775425227969005,100,100,71.4286,75
1775425228019656,83.3333,60,50,40
1775425228070339,66.6667,60,25,20
1775425228121001,100,100,83.3333,60
1775425228171704,83.3333,80,60,60
1775425228222425,100,100,100,80
1775425228273067,80,83.3333,80,83.3333
1775425228323778,100,80,80,75
1775425228374476,83.3333,66.6667,66.6667,40
1775425228425175,100,75,60,40
1775425228475874,80,83.3333,75,57.1429
1775425228526536,100,100,80,75
1775425228577151,85.7143,80,66.6667,50
1775425228627852,80,71.4286,50,50
1775425228678497,80,80,60,50
1775425228729210,100,83.3333,80,60
1775425228779923,83.3333,50,66.6667,40
1775425228830674,80,66.6667,80,20
1775425228881433,100,100,100,100
1775425228932168,75,80,75,66.6667
1775425228982916,75,57.1429,20,0
1775425229033594,80,75,66.6667,50
1775425229084299,100,100,83.3333,80
1775425229134910,80,66.6667,25,25
1775425229185602,75,75,33.3333,50
1775425229236272,80,66.6667,40,20
1775425229287041,75,80,50,25
1775425229337696,75,60,66.6667,40
1775425229388411,80,100,80,83.3333
1775425229439138,75,66.6667,50,0
1775425229489837,100,60,50,40
1775425229540600,80,75,40,25
1775425229591340,83.3333,83.3333,80,50
1775425229642035,75,80,50,50
1775425229692765,100,80,83.3333,60
1775425229743478,83.3333,85.7143,80,50
1775425229794154,75,33.3333,20,25
1775425229844800,85.7143,83.3333,60,33.3333
1775425229895405,80,75,83.3333,60
1775425229946095,80,83.3333,75,60
1775425229996740,100,100,100,75
1775425230047376,83.3333,66.6667,66.6667,33.3333
1775425230098103,83.3333,75,60,50
1775425230148753,80,83.3333,50,50
1775425230199389,100,80,66.6667,25
1775425230250095,80,50,50,40
1775425230300761,66.6667,60,50,20
1775425230351453,75,66.6667,25,20
1775425230402123,83.3333,80,50,33.3333
1775425230452784,80,66.6667,50,25
1775425230503410,83.3333,80,75,60
1775425230554109,100,100,75,75
1775425230604867,100,75,80,66.6667
1775425230655528,80,60,60,25
1775425230706172,80,60,60,33.3333
1775425230756796,80,83.3333,66.6667,40
1775425230807481,60,50,0,0
1775425230858174,80,50,50,25
1775425230908800,83.3333,80,50,50
1775425230959648,75,83.3333,33.3333,40
1775425231010381,83.3333,50,40,40
1775425231061086,75,80,57.1429,50
1775425231111803,75,71.4286,50,40
1775425231162464,100,80,60,66.6667
1775425231213104,83.3333,100,80,80
1775425231263787,100,60,50,40
1775425231314490,83.3333,100,80,80
1775425231365116,100,85.7143,80,60
1775425231415820,60,50,50,40
1775425231466529,83.3333,50,25,28.5714
1775425231517241,83.3333,66.6667,66.6667,40
1775425231567924,100,80,80,60
1775425231618597,80,80,75,75
1775425231669340,100,100,83.3333,66.6667
1775425231720060,80,75,60,50
1775425231770845,80,66.6667,50,40
1775425231821569,80,66.6667,71.4286,50
1775425231872298,100,100,80,83.3333
1775425231923057,80,80,60,25
1775425231973682,75,60,40,33.3333
1775425232024310,83.3333,66.6667,40,25
1775425232075047,80,66.6667,50,40
1775425232125697,83.3333,83.3333,50,40
1775425232176329,100,100,80,60
1775425232227087,83.3333,60,75,60
1775425232277742,100,100,100,100
1775425232328422,100,100,100,100
1775425232379159,100,100,100,100
1775425232429802,75,80,60,40
1775425232480530,83.3333,75,50,40
1775425232531166,75,50,40,20
1775425232581845,60,57.1429,20,0
1775425232632543,80,80,60,40
1775425232683284,85.7143,80,60,50
1775425232733952,100,100,100,80
1775425232784648,75,50,50,20
1775425232835327,71.4286,50,25,20
1775425232886031,100,80,50,50
1775425232936737,75,50,71.4286,25
1775425232987373,80,40,50,20
1775425233038010,80,83.3333,75,60
1775425233088683,83.3333,100,50,25
1775425233139335,83.3333,66.6667,50,50
1775425233190024,75,50,25,33.3333
1775425233240715,83.3333,83.3333,83.3333,80
1775425233291352,100,100,80,75
1775425233342068,80,60,60,40
1775425233392757,100,80,60,20
1775425233443448,83.3333,80,83.3333,60
1775425233494146,100,100,100,100
1775425233544838,100,80,80,80
1775425233595449,83.3333,83.3333,60,50
1775425233646129,80,100,80,60
1775425233696911,100,87.5,100,100
1775425233747612,100,100,83.3333,85.7143
1775425233798334,100,80,80,50
1775425233848973,80,80,66.6667,40
1775425233899644,85.7143,66.6667,40,60
1775425233950305,80,60,40,33.3333
1775425234000960,75,75,71.4286,40
1775425234051606,80,71.4286,50,40
1775425234102216,50,50,0,16.6667
1775425234152929,100,80,80,60
1775425234203625,75,80,60,50
1775425234254334,83.3333,80,60,66.6667
1775425234305004,100,60,66.6667,25
1775425234355639,83.3333,100,80,80
1775425234406265,100,60,75,60
1775425234456905,80,75,40,20
1775425234507549,85.7143,66.6667,60,40
1775425234558168,83.3333,75,60,40
1775425234608855,80,83.3333,80,50
1775425234659466,83.3333,75,50,50
1775425234710132,100,80,80,75
1775425234760826,83.3333,75,40,33.3333
1775425234811485,100,85.7143,100,100
1775425234862188,66.6667,75,60,40
1775425234912860,100,71.4286,60,20
1775425234963582,83.3333,100,60,66.6667
1775425235014232,75,66.6667,40,20
1775425235064925,83.3333,85.7143,60,50
1775425235115577,100,75,80,71.4286
1775425235166236,66.6667,66.6667,50,40
1775425235216869,85.7143,66.6667,50,0
1775425235267485,80,60,66.6667,60
1775425235318176,100,100,75,66.6667
1775425235368875,83.3333,66.6667,50,25
1775425235419542,83.3333,60,80,71.4286
1775425235470148,80,75,60,0
1775425235520786,100,100,83.3333,66.6667
1775425235571453,80,83.3333,80,60
1775425235622149,80,60,66.6667,40
1775425235672872,100,80,60,33.3333
1775425235723580,66.6667,50,40,20
1775425235774254,80,75,33.3333,20
1775425235824969,100,80,75,50
1775425235875743,80,83.3333,83.3333,83.3333
1775425235926443,100,80,75,50
1775425235977107,80,75,40,25
1775425236027811,100,100,100,83.3333
1775425236078549,75,71.4286,40,0
1775425236129290,80,60,25,33.3333
1775425236180020,100,75,50,25
1775425236230676,83.3333,100,66.6667,60
1775425236281277,75,66.6667,50,20
1775425236331939,83.3333,83.3333,60,20
1775425236382557,80,60,50,40
1775425236433239,80,50,40,50
1775425236483948,83.3333,100,80,50
1775425236534587,66.6667,60,66.6667,16.6667
1775425236585269,83.3333,66.6667,0,20
1775425236635926,83.3333,80,60,20
1775425236686636,100,75,66.6667,50
1775425236737313,75,83.3333,100,80
1775425236788026,100,80,75,60
1775425236838733,75,83.3333,66.6667,40
1775425236889406,83.3333,75,80,66.6667
1775425236940086,80,60,40,25
1775425236990791,75,75,50,40
1775425237041757,83.3333,60,25,50
1775425237092452,100,75,83.3333,60
1775425237143095,83.3333,83.3333,75,75
1775425237193801,83.3333,66.6667,60,16.6667
1775425237244463,60,50,33.3333,33.3333
1775425237295217,75,66.6667,40,0
1775425237345959,75,80,80,60
1775425237396649,100,100,83.3333,80
1775425237447387,100,100,100,100
1775425237498225,100,75,80,40
1775425237549002,83.3333,83.3333,50,60
1775425237599739,100,83.3333,83.3333,60
1775425237650459,75,66.6667,60,20
1775425237701159,83.3333,85.7143,60,40
1775425237751911,100,100,83.3333,100
1775425237802563,100,75,75,75
1775425237853264,83.3333,80,80,66.6667
1775425237903901,80,80,60,33.3333
1775425237954550,80,60,40,25
1775425238005192,80,60,66.6667,40
1775425238055850,100,100,80,66.6667
1775425238106538,83.3333,80,75,50
1775425238157224,100,100,100,100
1775425238207855,80,80,60,40
1775425238258560,75,50,50,40
