sent_at_unix_ns,latency_us,status
1775241385326749023,4993,ok
1775241385328925688,3470,ok
1775241385327835127,4933,ok
1775241385330020031,3095,ok
1775241385332395837,2371,ok
1775241385331741611,3167,ok
1775241385334896756,3395,ok
1775241385338315444,2275,ok
1775241385343746037,1801,ok
1775241385344826157,2595,ok
1775241385346662520,1736,ok
1775241385348384927,1596,ok
1775241385351051560,3934,ok
1775241385353231723,2014,ok
1775241385352143487,3864,ok
1775241385355261155,2938,ok
1775241385358199374,1612,ok
1775241385358263669,1875,ok
1775241385362277951,4493,ok
1775241385365432134,3556,ok
1775241385366768783,4597,ok
1775241385370080018,4175,ok
1775241385368926697,7342,ok
1775241385376257269,1555,ok
1775241385379930715,2878,ok
1775241385389016696,1355,ok
1775241385391447725,1463,ok
1775241385395056161,2314,ok
1775241385392533461,5127,ok
1775241385397212638,3501,ok
1775241385399809389,2365,ok
1775241385408315883,3172,ok
1775241385411491295,2079,ok
1775241385412570727,2261,ok
1775241385413557700,1794,ok
1775241385414647290,3303,ok
1775241385416429909,2058,ok
1775241385417522173,1773,ok
1775241385420440672,1989,ok
1775241385418478676,4419,ok
1775241385421532108,1508,ok
1775241385421616100,3853,ok
1775241385428624683,1391,ok
1775241385431100630,2321,ok
1775241385433257298,1948,ok
1775241385437346831,3007,ok
1775241385439502811,1531,ok
1775241385440341380,2931,ok
1775241385442135133,1865,ok
1775241385442193383,2198,ok
1775241385443221857,3917,ok
1775241385458351652,3077,ok
1775241385459451586,2138,ok
1775241385464733536,1737,ok
1775241385467551026,1920,ok
1775241385470548635,2603,ok
1775241385472704439,2117,ok
1775241385474824475,1492,ok
1775241385477453133,2393,ok
1775241385477395392,5376,ok
1775241385482760898,2165,ok
1775241385484910606,2004,ok
1775241385489076704,1623,ok
1775241385486912728,4094,ok
1775241385490171741,2059,ok
1775241385486000381,6375,ok
1775241385490697676,2549,ok
1775241385492233606,1439,ok
1775241385494755080,1941,ok
1775241385493659557,3454,ok
1775241385496696310,2442,ok
1775241385500209310,2173,ok
1775241385503458882,2540,ok
1775241385504549500,2565,ok
1775241385505643819,2214,ok
1775241385508937960,3071,ok
1775241385510024773,4006,ok
1775241385511997700,3787,ok
1775241385514013455,3407,ok
1775241385515781567,1669,ok
1775241385516868907,3301,ok
1775241385519581070,2662,ok
1775241385524394200,2056,ok
1775241385526447439,2871,ok
1775241385528604574,3480,ok
1775241385533156509,4945,ok
1775241385542237965,3018,ok
1775241385552400986,3469,ok
1775241385554555799,1614,ok
1775241385563307032,1546,ok
1775241385569060595,1578,ok
1775241385571737751,2034,ok
1775241385576913564,4027,ok
1775241385580943887,4735,ok
1775241385588827423,1873,ok
1775241385590703643,1603,ok
1775241385591787207,2146,ok
1775241385593384924,2174,ok
1775241385595010391,1629,ok
1775241385597723101,1566,ok
1775241385600366187,4859,ok
1775241385602530833,3559,ok
1775241385605210845,3542,ok
1775241385607167522,3752,ok
1775241385608263879,5589,ok
1775241385613092847,2287,ok
1775241385612000863,3629,ok
1775241385613852098,1965,ok
1775241385614944791,4830,ok
1775241385621978372,2050,ok
1775241385624030641,2118,ok
1775241385627226996,3962,ok
1775241385628315936,3087,ok
1775241385631175637,1741,ok
1775241385632904849,3874,ok
1775241385638929626,2253,ok
1775241385643395935,1836,ok
1775241385648376906,2259,ok
1775241385650537768,3591,ok
1775241385651688038,3808,ok
1775241385652823637,2705,ok
1775241385652778445,3836,ok
1775241385659847639,3018,ok
1775241385660931080,1978,ok
1775241385662029014,2997,ok
1775241385663953490,2085,ok
1775241385665023570,1851,ok
1775241385666040653,4128,ok
1775241385669030759,2704,ok
1775241385671242108,1943,ok
1775241385672820258,1647,ok
1775241385674271092,1513,ok
1775241385675627518,2299,ok
1775241385682999896,1994,ok
1775241385684092291,2014,ok
1775241385686111146,1785,ok
1775241385687897777,1446,ok
1775241385692491813,2581,ok
1775241385694645375,3786,ok
1775241385700578802,2445,ok
1775241385703107923,1727,ok
1775241385702744926,2362,ok
1775241385704197301,1739,ok
1775241385707097110,1740,ok
1775241385708839972,3037,ok
1775241385710989715,1561,ok
1775241385712537409,1400,ok
1775241385713631441,2234,ok
1775241385716945208,1774,ok
1775241385718034840,3476,ok
1775241385718783677,3593,ok
1775241385718717059,3786,ok
1775241385724642421,2113,ok
1775241385725729641,2371,ok
1775241385726751068,2119,ok
1775241385731069957,3190,ok
1775241385733263241,3270,ok
1775241385734259201,3617,ok
1775241385737616182,2067,ok
1775241385740760165,3354,ok
1775241385742927639,4547,ok
1775241385747284733,1713,ok
1775241385751142188,1698,ok
1775241385756075933,1695,ok
1775241385754984496,3557,ok
1775241385758547830,2023,ok
1775241385757167650,3724,ok
1775241385760578336,2181,ok
1775241385761991545,1584,ok
1775241385768882044,1543,ok
1775241385767791270,3202,ok
1775241385769971233,3567,ok
1775241385772079923,2659,ok
1775241385776887818,3633,ok
1775241385780051229,2075,ok
1775241385782125162,2204,ok
1775241385781598445,5168,ok
1775241385786476199,2224,ok
1775241385787869407,2128,ok
1775241385791074334,1674,ok
1775241385791142275,4270,ok
1775241385792733941,4062,ok
1775241385794906723,2418,ok
1775241385798422577,1754,ok
1775241385796495018,4334,ok
1775241385799507742,3362,ok
1775241385800819159,2539,ok
1775241385801909486,1700,ok
1775241385802868649,1918,ok
1775241385803606667,1709,ok
1775241385809455578,1845,ok
1775241385810548007,4584,ok
1775241385813451357,2146,ok
1775241385814545283,1775,ok
1775241385818468590,2279,ok
1775241385820638127,1572,ok
1775241385819548726,2741,ok
1775241385822206609,2994,ok
1775241385821904006,3911,ok
1775241385826864373,2025,ok
1775241385828887357,2254,ok
1775241385831043745,1648,ok
1775241385832228314,3445,ok
1775241385833771580,4712,ok
1775241385840624148,4270,ok
1775241385845972526,1707,ok
1775241385847062491,2263,ok
1775241385850399180,3292,ok
1775241385853651263,1966,ok
1775241385852556406,3066,ok
1775241385859879002,1658,ok
1775241385857704356,5233,ok
1775241385858795231,4814,ok
1775241385862694347,2215,ok
1775241385864694609,1576,ok
1775241385871352013,1807,ok
1775241385873144391,2915,ok
1775241385879133688,1711,ok
1775241385880216912,2590,ok
1775241385883876364,1470,ok
1775241385887486549,2981,ok
1775241385891541706,2629,ok
1775241385893702958,5015,ok
1775241385895241073,3840,ok
1775241385898400577,1850,ok
1775241385902404021,4346,ok
1775241385905563666,3494,ok
1775241385906658621,3314,ok
1775241385907805142,3078,ok
1775241385913116725,3471,ok
1775241385915274650,2294,ok
1775241385917569068,3380,ok
1775241385919742699,1794,ok
1775241385918647657,3959,ok
1775241385924756964,2397,ok
1775241385928310926,1560,ok
1775241385929401654,1721,ok
1775241385926913716,4386,ok
1775241385932355905,1624,ok
1775241385931127962,3725,ok
1775241385932424128,2456,ok
1775241385930989019,5216,ok
1775241385935947475,2678,ok
1775241385941766120,3852,ok
1775241385942861201,4335,ok
1775241385948275773,2228,ok
1775241385951676810,2271,ok
1775241385953838997,2265,ok
1775241385957185050,3368,ok
1775241385960272725,5268,ok
1775241385963707614,2282,ok
1775241385964807676,2118,ok
1775241385968004853,1723,ok
1775241385966911735,3466,ok
1775241385969717466,1814,ok
1775241385975678374,1520,ok
1775241385978332836,1782,ok
1775241385982260310,3376,ok
1775241385985422886,1867,ok
1775241385988367712,2905,ok
1775241385995412971,1532,ok
1775241385998014897,2805,ok
1775241385999106817,2673,ok
1775241386002868195,1517,ok
1775241386003951232,1750,ok
1775241386005467976,2011,ok
1775241386001783086,5753,ok
1775241386008608818,2031,ok
1775241386009178354,2218,ok
1775241386009912885,2703,ok
1775241386013651453,2081,ok
1775241386012561400,3554,ok
1775241386016106057,3213,ok
1775241386020391908,3187,ok
1775241386017194506,7821,ok
1775241386023558865,1518,ok
1775241386026154854,3863,ok
1775241386028333190,2162,ok
1775241386027236595,4069,ok
1775241386032438352,1455,ok
1775241386034971044,2577,ok
1775241386036056186,2266,ok
1775241386036059911,4529,ok
1775241386037164114,4570,ok
